"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","Delete file","LMS service","Sun Mar 22 13:25:00 UTC 2026","passed","Sun Mar 22 13:25:00 UTC 2026","Delete entity","Files","",""
"","40","Update course","LMS service","Sun Mar 22 13:24:53 UTC 2026","passed","Sun Mar 22 13:24:53 UTC 2026","Update entity","Courses","",""
"","31","Create exercise","LMS service","Sun Mar 22 13:24:55 UTC 2026","passed","Sun Mar 22 13:24:55 UTC 2026","Create entity","Exercises","",""
"","17","Get file","LMS service","Sun Mar 22 13:24:59 UTC 2026","passed","Sun Mar 22 13:24:59 UTC 2026","Get entity","Files","",""
"","42","Create course","LMS service","Sun Mar 22 13:24:54 UTC 2026","passed","Sun Mar 22 13:24:54 UTC 2026","Create entity","Courses","",""
"","573","Create user","LMS service","Sun Mar 22 13:25:01 UTC 2026","passed","Sun Mar 22 13:25:02 UTC 2026","Create entity","Users","",""
"","300","Delete exercise","LMS service","Sun Mar 22 13:24:57 UTC 2026","passed","Sun Mar 22 13:24:57 UTC 2026","Delete entity","Exercises","",""
"","265","Get file with incorrect file id","LMS service","Sun Mar 22 13:25:01 UTC 2026","passed","Sun Mar 22 13:25:01 UTC 2026","Validate entity","Files","",""
"","541","Create user","LMS service","Sun Mar 22 13:25:00 UTC 2026","passed","Sun Mar 22 13:25:01 UTC 2026","Create entity","Users","",""
"","298","Update exercise","LMS service","Sun Mar 22 13:24:55 UTC 2026","passed","Sun Mar 22 13:24:56 UTC 2026","Update entity","Exercises","",""
"","40","Get course","LMS service","Sun Mar 22 13:24:53 UTC 2026","passed","Sun Mar 22 13:24:53 UTC 2026","Get entity","Courses","",""
"","282","Create file with empty directory","LMS service","Sun Mar 22 13:24:59 UTC 2026","passed","Sun Mar 22 13:25:00 UTC 2026","Validate entity","Files","",""
"","27","Get exercises","LMS service","Sun Mar 22 13:24:57 UTC 2026","passed","Sun Mar 22 13:24:57 UTC 2026","Get entities","Exercises","",""
"","272","Create file","LMS service","Sun Mar 22 13:24:58 UTC 2026","passed","Sun Mar 22 13:24:58 UTC 2026","Create entity","Files","",""
"","290","Login with correct email and password","LMS service","Sun Mar 22 13:24:52 UTC 2026","passed","Sun Mar 22 13:24:52 UTC 2026","Login","Authentication","",""
"","295","Create user","LMS service","Sun Mar 22 13:25:01 UTC 2026","passed","Sun Mar 22 13:25:01 UTC 2026","Create entity","Users","",""
"","30","Get exercise","LMS service","Sun Mar 22 13:24:56 UTC 2026","passed","Sun Mar 22 13:24:56 UTC 2026","Get entity","Exercises","",""
"","14","Get user me","LMS service","Sun Mar 22 13:25:02 UTC 2026","passed","Sun Mar 22 13:25:02 UTC 2026","Get entity","Users","",""
"","272","Create file with empty name","LMS service","Sun Mar 22 13:24:59 UTC 2026","passed","Sun Mar 22 13:24:59 UTC 2026","Validate entity","Files","",""
